87,3,Jun 50,E.M. Dillon,"Wilkin Thomasson
George Carterfield *
Clement Williams *
J.R. West *","3
3
3
3","Jul 50
Jul 50
Jul 50
Jul 50","xx
xx
xx
xx",41,
88,3,Jun 50,Amicus,Amicus,4,Oct 50,xx,22,
89,3,Jun 50,Amicus,"Digamma
Hibernicus
Amicus *
Geometricus *","3
3
3
3","Sep 50
Oct 50
Oct 50
Oct 50","xx
xx
xx
xx",44,
90,3,Jul 50,Geometricus,"Geometricus
James Lavin","3
3","Aug 50
Aug 50","xx
xx",41,
91,3,Jul 50,Geometricus,"Wilkin Thomasson
J. Lavin *
Geometricus *
John Garstang *
J. Giblin *","3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx",41,
92,3,Jul 50,Geometricus,James Lavin,3,Aug 50,xx,41,
93,3,Jul 50,T. Elliott,"Wilkin Thomasson
J. Giblin *
George Carterfield *
Henry Moors *","3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx",41,
94,3,Jul 50,T. Elliott,"J. Giblin
George Carterfield
W. Turnbull","3
3
3","Aug 50
Aug 50
Aug 50","xx
xx
xx",41,
95,3,Jul 50,Wilkin Thomasson,"Wilkin Thomasson
J.E. Wyatt (was T.E.)
J. Giblin *
Henry Moors *
W. Turnbull *
R.G. Clarke *","3
3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx
xx",41,
96,3,Jul 50,Wilkin Thomasson,"J. Garstang
J.E. Wyatt *
John Brookes *
J. Giblin *
Wilkin Thomasson *
George Carterfield *
Henry Moors *
R.B. *
G.H.S. *
Thomas Morley *
Thomas Windsor *","3
3
3
3
3
3
3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",22,
97,3,Jul 50,Wilkin Thomasson,"Henry Moors
J.E. Wyatt *
Wilkin Thomasson *
R.B. *
G.H.S. *","3
3
3
3
3","Aug 50
Aug 50
Aug 50
Aug 50
Aug 50","xx
xx
xx
xx
xx",3,
