,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13220,49,Aug 96,J. Neuberg,"Prof. Mukhopadhyay
H.W. Curjel","49
49","Nov 96
Nov 96","66
66",44,
13221,49,Aug 96,Prof. Gopalachanar,,,,,17,
13222,49,Aug 96,Nath Coondoo,"H.W. Curjel
Prof. Mukhopadhyay","xx
xx","xx
xx","66
66",13,
13223,49,Aug 96,Swaminatha Aiyar,J. Hodgkinson,xx,xx,96,17,
13224,49,Aug 96,Krishmachandra De,"W.J. Greenstreet
J. Cullen","xx
xx","xx
xx","66
66",41,
13225,49,Aug 96,K.J. Sanjána,"J. Cullen
B.F. Finkel","xx
xx","xx
xx","67
67",44,
13226,49,Aug 96,Prof. Morley,,63,U 05/10,,11,
13227,49,Aug 96,Prof. Mukhopadhyay,"D. Edwardes
T.W. Chaundy","63
63","Dec 10
Dec 01","94
94",17,
13228,49,Aug 96,Prof. Barisien,"H.J. Woodall
W.J. Greenstreet","xx
xx","xx
xx","66
66",22,
13229,49,Aug 96,Prof. Anthony,,66,U 05/13,,16,
13230,49,Aug 96,Prof. Cazamian,"H.W. Curjel
W.E. Jeffares","50
50","Feb 97
Feb 97","67
67",41,
13231,49,Aug 96,B.F. Finkel,"W.E. Heal
W.E. Jeffares
K.S. Putnam","49
49
51","Nov 96
Nov 96
Feb 98","66
66
69",41,
13232,49,Aug 96,F.P. Matz,,64,U 05/11,,16,
13233,49,Aug 96,Editor,"H.W. Curjel
W.J. Greenstreet","49
49","Nov 96
Nov 96","66
66",86,
13234,49,Aug 96,Hugh McColl,"H.W. Curjel
E. Lampe
Hugh McColl","49
49
xx","Nov 96
Nov 96
xx","66
66
66",7,
13235,49,Aug 96,E.A. White,,,,,45,
13236,49,Aug 96,H.W. Curjel,"J. Cullen
W.E. Heal","xx
xx","xx
xx","67
67",45,
13237,49,Aug 96,R.W.D. Christie,R.W.D. Christie,xx,xx,75,41,
13238,49,Aug 96,J. Cullen,"H.W. Curjel
Nath Coondoo","xx
xx","xx
xx","66
66",64,
13239,49,Aug 96,J.F. Wilkinson,"J.L. Kitchin
N. Sarkar","xx
xx","xx
xx","67
67",48,
13240,49,Aug 96,R. Chartres,"D. Biddle
R. Chartres","xx
xx","xx
xx","66
66",41,
13241,49,Aug 96,J.J. Barniville,"K.J. Sanjána
Krishmachandra De","50
50","May 97
May 97","67
67",61,
13242,49,Aug 96,D. Biddle,A.M. Nesbitt,68,Dec 15,104,13,
13243,49,Aug 96,R. Knowles,"H.W. Curjel
W.J. Greenstreet","49
49","Nov 96
Nov 96","66
66",48,
13244,49,Aug 96,P.W. Flood,"D. Biddle
P.W. Flood","50
50","Feb 97
Feb 97","67
67",47,
13245,49,Aug 96,H.J. Woodall,"H.J. Woodall
J.L. Kitchin","49
49","Nov 96
Nov 96","66
66",9,
13246,49,Aug 96,T. Wiggins,"W.E. Jeffares
W.E. Heal","50
50","Feb 97
Feb 97","67
67",44,
13247,49,Aug 96,R.F. Davis,"H.W. Curjel
W.E. Jeffares","49
49","Nov 96
Nov 96","66
66",41,
13248,49,Aug 96,M. Brierley,"W.E. Jeffares
Prof. Radhakrishnan","50
50","Feb 97
Feb 97","67
67",44,
13249,49,Aug 96,J.W. West,,,,,10,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13250,49,Sep 96,J. Neuberg,"J. Cullen
W.E. Jeffares","xx
xx","xx
xx","66
66",41,
